Task,Group,Start,End,Completion

tâche18,WP3,2023-03-05,2023-03-15,0.0
tâche17,WP2,2023-02-25,2023-03-10,0.0
tâche16,WP1,2023-02-20,2023-02-25,0.1
tâche15,WP3,2023-02-13,2023-03-05,0.2
tâche14,WP2,2023-02-01,2023-02-25,0.6
tâche13,WP1,2023-01-23,2023-02-20,1.0

tâche12,WP3,2023-03-05,2023-03-15,0.0
tâche11,WP2,2023-02-25,2023-03-10,0.0
tâche10,WP1,2023-02-20,2023-02-25,0.1
tâche9,WP3,2023-02-13,2023-03-05,0.2
tâche8,WP2,2023-02-01,2023-02-25,0.6
tâche7,WP1,2023-01-23,2023-02-20,1.0

tâche6,WP3,2023-03-05,2023-03-15,0.0
tâche5,WP2,2023-02-25,2023-03-10,0.0
tâche4,WP1,2023-02-20,2023-02-25,0.1
tâche3,WP3,2023-02-13,2023-03-05,0.2
tâche2,WP2,2023-02-01,2023-02-25,0.6
tâche1,WP1,2023-01-23,2023-02-20,1.0
